,app_id,Topic,Label,Sublabel,,
254,45,12,Productivity,Storage,pdf editor,PDFedit is a free PDF editor for Unix-like operating systems. It does not support editing protected or encrypted PDF files or word processor-style text manipulation
6,46,3,Productivity,Office/Anti-virus,Microsoft Office Word,Microsoft Word is a word processor developed by Microsoft. It was first released on October 25
0,47,15,Productivity,Office,WPS Office,WPS Office is an office suite for Microsoft Windows
2,49,3,Productivity,Office/Anti-virus,Microsoft Office Excel,Microsoft Excel is a spreadsheet developed by Microsoft for Windows
181,50,5,Productivity,Adobe,Adobe Acrobat Elements,Adobe Acrobat is a family of application software and Web services developed by Adobe Inc. to view
236,51,18,Design,CAD,ABBYY FineReader,ABBYY FineReader is an optical character recognition application developed by the Russian company ABBYY. The program allows the conversion of image documents into editable electronic formats.
179,52,4,Open-source,Open-source,Sumatra PDF,Sumatra PDF is a free and open-source document viewer that supports many document formats including: Portable Document Format
21,54,15,Productivity,Office,WPS Spreadsheets,WPS?Office (an acronym for Writer
161,56,3,Productivity,Office/Anti-virus,PDF-XChange Editor,PDF-XChange Viewer is a proprietary PDF reader for Microsoft Windows available for free. The basic reader
130,57,5,Productivity,Adobe,PDFReader,Adobe Acrobat is a family of application software and Web services developed by Adobe Inc. to view
50,58,3,Productivity,Office/Anti-virus,PDFCreator,PDFCreator is an application for converting documents into Portable Document Format format on Microsoft Windows operating systems.
229,59,18,Design,CAD,Microsoft Office Publisher,Microsoft Publisher is an entry-level desktop publishing application from Microsoft
36,60,6,Graphic,Video,Notepad,Notepad is a simple text editor for Microsoft Windows and a basic text-editing program which enables computer users to create documents. It was first released as a mouse-based MS-DOS program in 1983
112,61,15,Productivity,Office,Microsoft Office Access,Microsoft Access is a database management system from Microsoft that combines the relational Microsoft Jet Database Engine with a graphical user interface and software-development tools. It is a member of the Microsoft Office suite of applications
51,64,1,Software,Software,Foxit PhantomPDF,Foxit Software
1,66,1,Software,Software,Calculator,Windows Calculator is a software calculator included in all versions of Windows.
191,67,11,Productivity,Client,Microsoft My Office,Microsoft Office is a family of client software
40,68,5,Productivity,Adobe,Adobe Reader and Acrobat Manager,Adobe Acrobat is a family of application software and Web services developed by Adobe Inc. to view
97,71,5,Productivity,Adobe,Adobe Acrobat Reader,Adobe Acrobat is a family of application software and Web services developed by Adobe Inc. to view
42,72,5,Productivity,Adobe,Adobe Acrobat,Adobe Acrobat is a family of application software and Web services developed by Adobe Inc. to view
25,73,3,Productivity,Office/Anti-virus,Microsoft Office PowerPoint,Microsoft PowerPoint is a presentation program
193,74,18,Design,CAD,Adobe InDesign,Adobe InDesign is a desktop publishing and typesetting software application produced by Adobe Systems. It can be used to create works such as posters
82,75,11,Productivity,Client,Microsoft Office,Microsoft Office is a family of client software
225,77,4,Open-source,Open-source,PDF Reader for Windows 10,PDF Reader for Windows 10 is a lightweight and full-featured PDF viewer used to open
52,80,18,Design,CAD,AutoCAD Application,AutoCAD is a commercial computer-aided design and drafting software application. Developed and marketed by Autodesk
136,81,18,Design,CAD,AutoCAD component,AutoCAD is a commercial computer-aided design and drafting software application. Developed and marketed by Autodesk
153,82,18,Design,CAD,Autodesk Download Manager,Autodesk
189,83,18,Design,CAD,Autodesk DWF Viewer,Autodesk
271,85,3,Productivity,Office/Anti-virus,Corel VideoStudio,Corel VideoStudio is a video editing software package for Microsoft Windows distributed by Ulead Systems.?
29,90,6,Graphic,Video,Adobe Photoshop,Adobe Photoshop is a raster graphics editor developed and published by Adobe Inc. for macOS and Windows. Photoshop was created in 1988 by Thomas and John Knoll.
65,91,6,Graphic,Video,Adobe Premiere ,Adobe Premiere Pro is a timeline-based video editing app developed by Adobe Systems and published as part of the Adobe Creative Cloud licensing program. First launched in 2003
129,92,14,Graphic,Image,Adobe Photoshop Lightroom,Adobe Lightroom is a family of image organization and image manipulation software developed by Adobe Systems for Windows and macOS. It allows viewing
158,93,15,Productivity,Office,Movie Maker,Windows Movie Maker was a video editing software by Microsoft. It was a part of Windows Essentials software suite and offered the ability to create and edit videos as well as to publish them on OneDrive
94,96,3,Productivity,Office/Anti-virus,SnagIt,Snagit is a screenshot program that captures video display and audio output. Originally for the Microsoft Windows operating systems
202,97,18,Design,CAD,VirtualDJ,VirtualDJ is the application that DJs use when they want to use a computer to play their music.
226,98,15,Productivity,Office,Camtasia Studio,Camtasia is a software suite
209,100,18,Design,CAD,Mindjet MindManager,MindManager is a commercial mind mapping software application developed by Mindjet. The software provides ways for users to visualize information in mind maps and flowcharts. MindManager can be used to manage projects
253,102,1,Software,Software,GstarCAD,GstarCAD is a CAD software platform
238,104,14,Graphic,Image,PSExpress,Adobe Photoshop Express is a free image editing and collage making mobile application from Adobe Systems Pvt. Ltd. The app is available on iOS
152,106,6,Graphic,Video,photoscape,PhotoScape is a graphics editing program
198,107,15,Productivity,Office,CorelDRAW,CorelDraw is a vector graphics editor developed and marketed by Corel Corporation. It is also the name of Corel's Graphics Suite
90,108,14,Graphic,Image,FL Studio,FL Studio is a digital audio workstation developed by the Belgian company Image-Line. FL Studio features a graphical user interface based on a pattern-based music sequencer.?
111,109,9,Multimedia,Audio,Adobe Audition,Adobe Audition is a digital audio workstation from Adobe Systems featuring both a multitrack
251,111,9,Multimedia,Audio,Adobe Media Encoder,Adobe Media Encoder is used to compress audio and/or video files. Typically
162,112,14,Graphic,Image,Adobe After Effects,Adobe After Effects is a digital visual effects
123,113,8,Game,Platform,RobloxStudio,Roblox Studio.?Roblox?is a game creation platform which allows players to create their own games using its proprietary engine
71,114,8,Game,Platform,Roblox Game Client,Roblox is a massively multiplayer online and game creation system platform that allows users to design their own games and play a wide variety of different types of games created by other users. The platform hosts social network games constructed of Lego-like virtual blocks.
138,115,8,Game,Platform,Roblox,Roblox is a massively multiplayer online and game creation system platform that allows users to design their own games and play a wide variety of different types of games created by other users. The platform hosts social network games constructed of Lego-like virtual blocks.
13,116,0,Game,General,RainbowSix,Tom Clancy's Rainbow Six Siege is a tactical shooter video game developed by Ubisoft Montreal and published by Ubisoft. It was released worldwide for Microsoft Windows
100,118,11,Productivity,Client,qqgame,QQ Games is a casual games client
197,119,17,Game,Simulation,Pro Evolution Soccer,Pro Evolution Soccer series is a series of association football simulation video games developed and released annually since 2001. It is being developed and published by Konami. It consists of eighteen main installments and several spinoff-style titles and it has seen releases on many different platforms.
134,120,0,Game,General,Plants vs. Zombies,"Plants vs. Zombies?is a?tower defense?video game?developed and originally published by?PopCap Games?for?Microsoft Windows?and?OS X. The game involves homeowners who use a variety of different plants to prevent an army of?zombies?from entering their houses and ""eating their brains""."
192,122,11,Productivity,Client,QQPCGame,QQ Games is a casual games client
173,123,0,Game,General,StarCraft II,StarCraft II: Wings of Liberty is a military science fiction real-time strategy video game developed and published by Blizzard Entertainment. It was released worldwide in July 2010 for Microsoft Windows and Mac OS X.
169,125,0,Game,General,Terraria,Terraria is a 2D action-adventure sandbox video game developed by Re-Logic. The game was initially released for Microsoft Windows in May 2011
241,126,0,Game,General,Subnautica,Subnautica is an open world survival adventure game developed and published by Unknown Worlds Entertainment. It allows the player to freely explore the ocean on an alien planet
9,127,8,Game,Platform,steam,Steam is a digital distribution platform developed by Valve Corporation for purchasing and playing video games. Steam offers digital rights management
183,128,19,Game,RPG,Skyrim,The Elder Scrolls V: Skyrim is an action role-playing video game developed by Bethesda Game Studios and published by Bethesda Softworks.
77,132,3,Productivity,Office/Anti-virus,ntcls_daemon,DAEMON Tools is a virtual drive and optical disc authoring program for Microsoft Windows and Mac OS.
46,133,8,Game,Platform,Origin,Origin is an online gaming
43,134,10,Game,Shooting,Overwatch,Overwatch is a team-based multiplayer first-person shooter video game developed and published by Blizzard Entertainment
263,135,10,Game,Shooting,Paladins,Paladins: Champions of the Realm is a free-to-play online shooter video game by Hi-Rez Studios. The game was developed by Evil Mojo Games
124,137,17,Game,Simulation,The Sims,The Sims is a series of life simulation video games that was developed by Maxis and The Sims Studio and published by Electronic Arts. The franchise has sold nearly 200 million copies worldwide
205,138,17,Game,Simulation,The Witcher,The Witcher is a Polish-American fantasy drama series produced by Lauren Schmidt Hissrich. It is based on the book series of the same name by Polish writer Andrzej Sapkowski
243,139,19,Game,RPG,Fallout,Fallout is a series of post-apocalyptic role-playing video games created by Interplay Entertainment
171,141,0,Game,General,TheForest,The Forest is a survival video game developed and published by Endnight Games. The game takes place on a remote
151,142,4,Open-source,Open-source,MapleStory,MapleStory is a free-to-play
55,144,13,Streaming,Streaming,BlueStacks,BlueStacks is an American technology company that produces the BlueStacks App Player and other cloud-based cross-platform products. The BlueStacks App Player is designed to enable Android applications to run on PCs running Microsoft Windows and Apple's macOS.
168,146,19,Game,RPG,Borderlands,Borderlands is a series of action role-playing first-person shooter video games in a space western science fantasy setting
84,147,11,Productivity,Client,QQMicroGameBox,QQ Games is a casual games client
72,149,0,Game,General,Rocket League,Rocket League is a vehicular soccer video game developed and published by Psyonix. The game was first released for Microsoft Windows and PlayStation 4 in July 2015
109,150,19,Game,RPG,MONSTER HUNTER: WORLD,Monster Hunter: World is an action role-playing game developed and published by Capcom. A part of the Monster Hunter series
87,151,8,Game,Platform,World of Warships,World of Warships is a free-to-play naval warfare-themed massively multiplayer online game produced by international game developer and publisher Wargaming
125,152,19,Game,RPG,Stardew Valley,"Stardew Valley is an indie farming simulation role-playing video game developed by Eric ""ConcernedApe"" Barone and originally published by Chucklefish."
227,154,2,Game,Graphic Intensive,Far Cry Series,Far Cry is a franchise of first-person shooter video games. NOTICE: Uplay account and internet connection are required to activate download and use this product. NOTICE: The activation key only works in United States Canada American Samoa Puerto Rico Virgin Islands U.S. About the game Far Cry comes to America in the latest installment of the award-winning franchise. Welcome to Hope County Montana land of the free and the brave but also home to a fanatical doomsday cult known as Eden's Gate. Stand up to cult leader Joseph Seed and his siblings the Heralds to spark the fires of resistance and liberate the besieged community. Key Features FIGHT AGAINST A DEADLY CULT Free Hope County in solo or two-player co-op. Recruit Guns and Fangs for hire to help defeat the cult. A WORLD THAT HITS BACK Wreak havoc on the cult and its members but beware of the wrath of Joseph Seed and his followers. CARVE YOUR OWN PATH Build your character and choose your adventure in the largest customizable Far Cry game ever! DYNAMIC TOYS Take control of iconic muscle cars ATV's planes and a lot more to engage the cult forces in epic fights. System Requirements Windows - Minimum OS: Windows 7 SP1 Windows 8.1 Windows 10 (64-bit versions only) PROCESSOR: Intel Core i5-2400 @ 3.1 GHz or AMD FX-6300 @ 3.5 GHz or equivalent VIDEO CARD: NVIDIA GeForce GTX 670 or AMD R9 270 (2GB VRAM with Shader Model 5.0 or better) SYSTEM RAM: 8GB Resolution: 720p Video Preset: Low Game contains EasyAntiCheat (https://www.easyanticheat.net/) anti-cheat technology and Denuvo (https://www.denuvo.com/) and VMProtect (http://vmpsoft.com/support/user-manual/introduction/what-is-vmprotect/) anti-tamper technology. Windows - Recommended OS: Windows 7 SP1 Windows 8.1 Windows 10 (64-bit versions only) PROCESSOR: Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent VIDEO CARD: NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better) SYSTEM RAM: 8GB Resolution: 1080p Video Preset: High 4K 30 FPS Configuration OS: Windows 10 (64-bit version only) PROCESSOR: Intel Core i7-6700 @ 3.4 GHz or AMD Ryzen 5 1600X @ 3.6 GHz or equivalent VIDEO CARD: NVIDIA GeForce GTX 1070 or AMD RX Vega 56 (8GB VRAM with Shader Model 5.0 or better) SYSTEM RAM: 16GB Resolution: 2160p Video Preset: High 4K 60 FPS Configuration OS: Windows 10 (64-bit version only) PROCESSOR: Intel Core i7-6700K @ 4.0 GHz or AMD Ryzen 7 1700X @ 3.4 GHz or equivalent VIDEO CARD: NVIDIA GeForce GTX 1080 SLI or AMD RX Vega 56 CFX (8GB VRAM with Shader Model 5.0 or better) SYSTEM RAM: 16GB Resolution: 2160p Video Preset: High/Ultra *Supported NVIDIA cards at time of release GeForce GTX600 series: GeForce GTX670 or better GeForce GTX700 series: GeForce GTX760 or better GeForce GTX900 series: GeForce GTX950 or better GeForce GTX10-Series: GeForce GTX1050 or better **Supported AMD cards at time of release Radeon 200 series: Radeon R9 270 or better Radeon 300/Fury X series: Radeon R7 370 or better Radeon 400 series: Radeon RX 460 or better Radeon Vega series: any Radeon Vega series 2017 Ubisoft Entertainment. All Rights Reserved. Far Cry Ubisoft and the Ubisoft logo are trademarks of Ubisoft Entertainment in the US and/or other countries. Based on Crytek's original Far Cry directed by Cevat Yerli. Powered by Crytek's technology  CryEngine.
278,155,13,Streaming,Streaming,Adobe AIR,Adobe AIR is a cross-platform runtime system developed by Adobe Systems for building desktop applications and mobile applications
215,156,19,Game,RPG,DARK SOULS,Dark Souls is an action role-playing game developed by FromSoftware and published by Namco Bandai Games. A spiritual successor to FromSoftware's Demon's Souls
214,159,0,Game,General,SlayTheSpire,Slay the Spire is a roguelike video game with deck-building card game mechanics. The game is being developed by MegaCrit.?
176,161,13,Streaming,Streaming,Twitch,Twitch?is a?live streaming?video?platform owned by Twitch Interactive
89,163,17,Game,Simulation,GTA,Grand Theft Auto is an action-adventure video game series created by David Jones and Mike Dailly; the later titles of which were created by brothers Dan and Sam Houser
93,165,17,Game,Simulation,TslGame,The Silver Lining is a five-chapter episodic video fangame based on the King's Quest series
240,166,14,Graphic,Image,Uplay,Uplay is a digital distribution
248,168,0,Game,General,War Thunder ,War Thunder is a cross platform vehicular combat multiplayer game developed by the Russian company Gaijin Entertainment for Microsoft Windows
91,169,0,Game,General,Warscraft 3,Warcraft III: Reign of Chaos is a high fantasy real-time strategy video game developed and published by Blizzard Entertainment released in July 2002. It is the second sequel to Warcraft: Orcs & Humans and the third game set in the Warcraft fictional universe.?
148,170,10,Game,Shooting,Warframe,Warframe is a free-to-play cooperative third-person shooter video game developed and published by Digital Extremes. Originally released for Microsoft Windows in March 2013
270,172,17,Game,Simulation,WeSing,We Sing is a series of karaoke style singing games for console
200,173,8,Game,Platform,World of Tanks,World of Tanks is a massively multiplayer online game developed by Belarusian company Wargaming
74,175,19,Game,RPG,World of Warcraft,World of Warcraft is a massively multiplayer online role-playing game released in 2004 by Blizzard Entertainment. It is the fourth released game set in the Warcraft fantasy universe.
146,185,2,Game,Graphic Intensive,NBA2K,"NBA 2K series is a series of basketball simulation video games developed and released annually since 1999. The premise of each game in the series is to emulate the sport of basketball. NBA 2K19: Activation key must be used on a valid Steam account. the game NBA 2K celebrates 20 years of redefining what sports gaming can be from best in class graphics & gameplay to groundbreaking game modes and an immersive open-world Neighborhood. NBA 2K19 continues to push limits as it brings gaming one step closer to real-life basketball excitement and culture. System Requirements Windows - Minimum OS: Windows 7 64-bit Windows 8.1 64-bit or Windows 10 64-bit Processor: Intel  Core  i3-530 @ 2.93 GHz / AMD FX-4100 @ 3.60 GHz or better Memory: 4 GB RAM Graphics: NVIDIA  GeForce  GT 450 1GB / ATI  Radeon  HD 7770 1GB or better DirectX: Version 11 Storage: 80 GB available space Sound Card: DirectX 9.0x compatible Dual-Analog Gamepad: Recommended Additional Notes: Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2012. Windows - Recommended OS: Windows 7 64-bit Windows 8.1 64-bit or Windows 10 64-bit Processor: Intel  Core  i5-4430 @ 3 GHz / AMD FX-8370 @ 3.4 GHz or better Memory: 8 GB RAM Graphics: NVIDIA  GeForce  GTX 770 2GB / ATI  Radeon  R9 270 2GB or better DirectX: Version 11 Storage: 80 GB available space Sound Card: DirectX 9.0c compatible sound card Additional Notes: Dual-analog gamepad 2005-2018 Take-Two Interactive Software and its subsidiaries. All rights reserved. 2K the 2K logo and Take-Two Interactive Software are all trademarks and/or registered trademarks of Take-Two Interactive Software Inc. The NBA and NBA member team identifications are the intellectual property of NBA Properties Inc. and the respective NBA member teams. 2018 NBA Properties Inc. All Rights Reserved. Use of this product requires agreement to the following third party end user license agreement: https://www.take2games.com/eula/""                                                                                                                                                                                                                                                                                                                   NBA 2K18: Activation key must be used on a valid Steam account. THE GAME The highest rated* annual sports title returns with NBA 2K18 featuring unparalleled authenticity and improvements on the court. *According to 2008 - 2016 Metacritic.com The #1 rated NBA video game simulation series for the last 16 years (Metacritic) The #1 selling NBA video game simulation series for the last 10 years (NPD) Over 95 awards and nominations since the launch of PlayStation 4 & Xbox One Pre-order NBA 2K18 now to receive Early Access (4 days before standard release) bonus Virtual Currency and in-game content FEATURES RUN THE NEIGHBORHOOD The future of sports career modes has arrived allowing you to play the game the way you like. Build your career in NBA games hit the courts in The Playground Park join the Pro-Am circuit or explore the shops and venues in an all-new open neighborhood setting. Featuring new MyPLAYER upgrade and endorsement systems our biggest cast of characters to date including NBA players and so much more. The Road to 99 Get a free sneak peek at the neighborhood one week prior to the full release of NBA 2K18. Hit the Proving Ground streetball courts with your MyPLAYER and show the world what you have to offer. Available September 8 on the PS Store and Xbox Live. Prelude The overarching meta-game that rewards users for improving their MyPLAYER's overall rating regardless of which modes they choose to play. Featuring a unified badge system across Pro-Am Park and your NBA journey in MyCAREER your attributes animations and badges all combine to define your play style on your road to a 99 overall rating. Updated Create A Player Create the MyPLAYER you want whether scanning your face with the MyNBA2K18 mobile app or building something custom using our preset options. Hairstyles have been updated with numerous new options to choose from and body weight and height are more accurately represented to ensure the unique look you want for your MyPLAYER. MyTEAM Collect player cards featuring NBA legends from yesterday and today and compete in a variety of online and offline modes. Super Max Construct a salary-capped team and compete against other users of similar ability in a new season mode. With a limited salary cap to distribute among 13 players you'll have to be strategic in selecting your lineup for each round. Prizes are awarded based on your performance each round ensuring that every game matters. Pack & Playoffs An all-new draft mode that challenges you to build the best possible 5-man team from packs you'll open before each round. Compete against other users' drafted teams and advance to earn better prizes. With Pack & Playoffs it's a new lineup and a new experience every round. Schedule Challenges Play through a 30 game schedule for each of the 30 NBA teams. Earn MyTEAM points and prizes as you work your way through 900 unique challenges based on the 2017-18 NBA schedule. ELITE GAMEPLAY New Motion System The new motion system brings player control to a new level of realism. Now dribbling and off the ball movement are no longer driven by animations. This groundbreaking technology dynamically creates animations to deliver the best gameplay experience possible. You are now in complete control. Improved Shot Meter Hit shots more consistently thanks to an improved shot meter featuring multiple feedback points for more precise shot timing. GRAPHICS & PRESENTATION Improved Player Accuracy Countless hours of work have been put in to make every NBA player look and feel like their real-life counterparts down to the smallest details including scars stretch marks and even faded tattoos. The player body system has been completely redesigned to accurately match the physique of every player in the league and player faces have been rebuilt from scratch to show more details and respond more realistically to light. Laser Scanned Uniforms & Accessories Laser scanned uniforms from all 30 NBA teams accurately depict each design down to the smallest stitch. Using True Color Technology team colors have never been more pure & authentic and whites have never popped so brightly. And with the overhauled player body system uniforms fit accurately for each specific body type. To round out the complete on-court look of an NBA player users will enjoy the largest collection of scanned shoes and accessories in NBA 2K history. Special Guest Commentary The biggest roster of broadcasting talent in sports videogame history gets even bigger. Future Hall of Famers and former NBA 2K cover athletes Kobe Bryant and Kevin Garnett join the booth on a rotating basis to lend their expertise to the broadcast bringing the total number of in-game broadcasters to 13. LEGENDARY TEAMS All-Time Teams The greatest players in NBA history from all 30 teams together on All-Time franchise rosters for the very first time. Compete in Play Now to find out which franchise's All-Time Team reigns supreme or challenge all 30 All-Time Teams in MyTEAM's All-Time Domination mode. Classic Teams Play with 62 of the NBA's greatest teams from the past including 17 new additions. Pit your favorite classic roster against current NBA teams replay epic Finals matchups find out if Shaq & Kobe can compete with the great Lakers teams of the past or matchup the '97-98 Bulls against the '15-16 Warriors to settle the argument once and for all. The possibilities are endless. MyGM/MyLEAGUE MyGM: The Next Chapter For the first time in a sports game MyGM introduces a narrative-driven story-based franchise experience that maintains all of the user control and team building aspects that fans have come to love over the years. Your path will be determined by the choices you make and the answers you provide at many key points in the narrative. Make the story your own and build a winner! MyLEAGUE 2K's fan-favorite franchise mode allows users complete customization over their league. Choose the number of games and teams adjust the league settings and apply your custom setup to a single season multi-season or online experience. Or skip the regular season and jump right into to the Playoffs. True-To-Life League Structure & Rules Both MyGM and MyLEAGUE feature numerous updates to match real-life NBA rules including many from the new Collective Bargaining Agreement. Negotiate player contracts that work best for your franchise and each player including Super Max &  Bird Rights  deals for elite players Over-38 contracts for older players and two-way contracts for younger players. Manage your roster by using the Stretch Provision to minimize the Salary Cap when you waive a player or develop younger talent in the G-League or by stashing them overseas. Simply put the most detailed and authentic franchise experience on the market puts you in the hot seat as an NBA GM like never before. System Requirements Minimum OS: Windows 7 64-bit Windows 8.1 64-bit or Windows 10 64-bit Processor: Intel  Core  i3-530 @ 2.93 GHz / AMD Phenom  II X4 805 @ 2.50 GHz or better Memory: 4 GB RAM Graphics: NVIDIA  GeForce  GT 450 1GB / ATI  Radeon  HD 7770 1GB or better DirectX: Version 11 Storage: 70 GB available space Sound Card: DirectX 9.0x compatible Additional Notes: Dual-analog gamepad Additional Notes: Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2012. Recommended OS: Windows 7 64-bit Windows 8.1 64-bit or Windows 10 64-bit Processor: Intel  Core  i5-4430 @ 3 GHz / AMD FX-8370 @ 3.4 GHz or better Memory: 8 GB RAM Graphics: NVIDIA  GeForce  GTX 770 2GB / ATI  Radeon  R9 270 2GB or better DirectX: Version 11 Storage: 70 GB available space Sound Card: DirectX 9.0c compatible sound card Additional Notes: Dual-analog gamepad 2005-2017 Take-Two Interactive Software and its subsidiaries. All rights reserved. 2K the 2K logo and Take-Two Interactive Software are all trademarks and/or registered trademarks of Take-Two Interactive Software Inc. The NBA and NBA member team identifications are the intellectual property of NBA Properties Inc. and the respective NBA member teams. 2017 NBA Properties Inc. All Rights Reserved. Use of this product requires agreement to the following third party end user license agreement: http://www.take2games.com/eula/                                                                                                                                           NBA 2K20: Activation key must be used on a valid Steam account. Requires internet connection.About the gameNBA 2K has evolved into much more than a basketball simulation. 2K continues to redefine what's possible in sports gaming with NBA 2K20 featuring best in class graphics & gameplay ground breaking game modes and unparalleled player control and customization. Plus with its immersive open-world Neighborhood NBA 2K20 is a platform for gamers and ballers to come together and create what's next in basketball culture.System Requirements Windows - MinimumOS: Windows 7 64-bit Windows 8.1 64-bit or Windows 10 64-bitProcessor: Intel  Core  i3-530 @ 2.93 GHz / AMD FX-4100 @ 3.60 GHz or betterMemory: 4 GB RAMGraphics: NVIDIA  GeForce  GT 450 1GB / AMD  Radeon  HD 7770 1GB or betterDirectX: Version 11Storage: 80 GB available spaceSound Card: DirectX 9.0x compatible Dual-Analog Gamepad: RecommendedAdditional Notes: Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2012.Windows - RecommendedOS: Windows 7 64-bit Windows 8.1 64-bit or Windows 10 64-bitProcessor: Intel  Core  i5-4430 @ 3 GHz / AMD FX-8370 @ 3.4 GHz or betterMemory: 8 GB RAMGraphics: NVIDIA  GeForce  GTX 770 2GB / AMD  Radeon  R9 270 2GB or betterDirectX: Version 11Storage: 80 GB available spaceSound Card: DirectX 9.0c compatible sound cardAdditional Notes: Dual-analog gamepa 2005-2019 Take-Two Interactive Software Inc. and its subsidiaries. 2K the 2K logo and Take-Two Interactive Software are all trademarks and/or registered trademarks of Take-Two Interactive Software Inc. The NBA and NBA member team identifications are the intellectual property of NBA Properties Inc. and the respective NBA member teams. 2018 NBA Properties Inc. Officially licensed product of the National Basketball Players Association. All other trademarks are property of their respective owners. All rights reserved.Use of this product requires agreement to the following third party end user license agreement: http://www.take2games.com/eula/"
119,186,17,Game,Simulation,Euro Truck Simulator,Truck Simulator is a vehicle simulation game series created by SCS Software. The first title in the series
147,187,7,Browser,Browser,FacebookGameroom,Facebook Gameroom?(formerly known as?Facebook?Games Arcade) is an independent app that allows users to play?Facebook?games without accessing the?Facebook?site through a web browser.
